#TYPE System.ServiceProcess.ServiceController
"Name";"RequiredServices";"CanPauseAndContinue";"CanShutdown";"CanStop";"DisplayName";"DependentServices";"MachineName";"ServiceName";"ServicesDependedOn";"ServiceHandle";"Status";"ServiceType";"StartType";"Site";"Container"
"AdobeARMservice";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Adobe Acrobat Update Service";"System.ServiceProcess.ServiceController[]";".";"AdobeARMservice";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"AJRouter";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de enrutador de AllJoyn";"System.ServiceProcess.ServiceController[]";".";"AJRouter";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"ALG";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de puerta de enlace de nivel de aplicaci?n";"System.ServiceProcess.ServiceController[]";".";"ALG";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32OwnProcess";"Manual";;
"AppIDSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Identidad de aplicaci?n";"System.ServiceProcess.ServiceController[]";".";"AppIDSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"Appinfo";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Informaci?n de la aplicaci?n";"System.ServiceProcess.ServiceController[]";".";"Appinfo";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"AppReadiness";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Preparaci?n de aplicaciones";"System.ServiceProcess.ServiceController[]";".";"AppReadiness";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"AppXSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de implementaci?n de AppX (AppXSVC)";"System.ServiceProcess.ServiceController[]";".";"AppXSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"AsHidService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"ASUS HID Access Sevice";"System.ServiceProcess.ServiceController[]";".";"AsHidService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"ASLDRService";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"ASLDR Service";"System.ServiceProcess.ServiceController[]";".";"ASLDRService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"ASUSLiveUpdateAgent";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"ASUS LiveUpdate Agent";"System.ServiceProcess.ServiceController[]";".";"ASUSLiveUpdateAgent";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"ASUSOptimization";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"ASUS Optimization";"System.ServiceProcess.ServiceController[]";".";"ASUSOptimization";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"ASUSSystemAnalysis";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"ASUS System Analysis";"System.ServiceProcess.ServiceController[]";".";"ASUSSystemAnalysis";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"ASUSSystemDiagnosis";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"ASUS System Diagnosis";"System.ServiceProcess.ServiceController[]";".";"ASUSSystemDiagnosis";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"AudioEndpointBuilder";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Compilador de extremo de audio de Windows";"System.ServiceProcess.ServiceController[]";".";"AudioEndpointBuilder";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"Audiosrv";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Audio de Windows";"System.ServiceProcess.ServiceController[]";".";"Audiosrv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess";"Automatic";;
"AxInstSV";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Instalador de ActiveX (AxInstSV)";"System.ServiceProcess.ServiceController[]";".";"AxInstSV";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"BcastDVRUserService_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de usuario de difusi?n y GameDVR_789d044";"System.ServiceProcess.ServiceController[]";".";"BcastDVRUserService_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"240";"Manual";;
"BDESVC";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio Cifrado de unidad BitLocker";"System.ServiceProcess.ServiceController[]";".";"BDESVC";"System.ServiceProcess.ServiceController[]";;"Stopped";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"BFE";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Motor de filtrado de base";"System.ServiceProcess.ServiceController[]";".";"BFE";"System.ServiceProcess.ServiceController[]";;"Running";"Win32ShareProcess";"Automatic";;
"BITS";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de transferencia inteligente en segundo plano (BITS)";"System.ServiceProcess.ServiceController[]";".";"BITS";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"Win32ShareProcess";"Manual";;
"BluetoothUserService_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de soporte t?cnico de usuario de Bluetooth_789d044";"System.ServiceProcess.ServiceController[]";".";"BluetoothUserService_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"240";"Manual";;
"BrokerInfrastructure";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"Servicio de infraestructura de tareas en segundo plano";"System.ServiceProcess.ServiceController[]";".";"BrokerInfrastructure";"System.ServiceProcess.ServiceController[]";;"Running";"Win32ShareProcess";"Automatic";;
"BTAGService";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de puerta de enlace de audio de Bluetooth";"System.ServiceProcess.ServiceController[]";".";"BTAGService";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"BthAvctpSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio AVCTP";"System.ServiceProcess.ServiceController[]";".";"BthAvctpSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"bthserv";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de compatibilidad con Bluetooth";"System.ServiceProcess.ServiceController[]";".";"bthserv";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"camsvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio Administrador de funcionalidad de acceso";"System.ServiceProcess.ServiceController[]";".";"camsvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"CaptureService_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"False";"CaptureService_789d044";"System.ServiceProcess.ServiceController[]";".";"CaptureService_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Stopped";"224";"Manual";;
"cbdhsvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de usuario del portapapeles_789d044";"System.ServiceProcess.ServiceController[]";".";"cbdhsvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"240";"Manual";;
"CDPSvc";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de plataforma de dispositivos conectados";"System.ServiceProcess.ServiceController[]";".";"CDPSvc";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"Win32OwnProcess, Win32ShareProcess";"Automatic";;
"CDPUserSvc_789d044";"System.ServiceProcess.ServiceController[]";"False";"False";"True";"Servicio de usuario de plataforma de dispositivos conectados_789d044";"System.ServiceProcess.ServiceController[]";".";"CDPUserSvc_789d044";"System.ServiceProcess.ServiceController[]";"SafeServiceHandle";"Running";"240";"Automatic";;
"CertPropSvc";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Propagaci?n de certificados";"System.ServiceProcess.ServiceController[]";".";"CertPropSvc";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
"ClipSVC";"System.ServiceProcess.ServiceController[]";"False";"True";"True";"Servicio de licencia de cliente (ClipSVC)";"System.ServiceProcess.ServiceController[]";".";"ClipSVC";"System.ServiceProcess.ServiceController[]";;"Running";"Win32OwnProcess, Win32ShareProcess";"Manual";;
